;Programme INSECT - Formations Universitaires;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Identité;;Formation;;;;;;;;;;;Stage;;;;;;;;;Coordonnées;;;;;;;Recherche;;;Divers
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Références;Université de;Intitulé Composante;Niveau;Domaine Diplôme;Mention Diplôme;Spécialité Diplôme;Parcours Diplôme;Lieu Formation;Formation Initiale;Formation Continue;Contrat d'Apprentissage;Contrat de Professionnalisation;Voie Recherche;Type de Stage;Durée Stage;Date de début;Date de fin obligatoire ;Service Stage/Emploi;Site Internet Stage/Emploi;Exemple de sujet de mémoire 1;Exemple de sujet de mémoire 2;Exemple de sujet de mémoire 3;Responsable Pédagogique;Courriel Secrétariat Formation;Téléphone;Adresse;Code Postal;Commune;Site Internet;Rattachement Laboratoire 1;Rattachement Laboratoire 2;Rattachement Laboratoire 3;Informations complémentaires
F1;Poitiers;IAE;Master 2;Droit Economie Gestion;Marketing Plurimédia et consommation;Marketing Plurimédia et Consommation;Management des marques et produits jeunesse;Angoulême;OUI;OUI;NON;NON;OUI;;6 mois;27 février;31 août;OUI;http://iae.univ-poitiers.fr/fr/stages-et-emplois;;;;Inés de La Ville;daconceicao@poitiers.iae-France.fr;05 45 21 00 11;186 rue de Bordeaux;16025;Angoulême ;http://cepe.univ-poitiers.fr/;CEREGE;MSHS;;CEPE
F2;Poitiers;Droit et Sciences Sociales;Magistère;Droit Economie Gestion;Droit du Patrimoine;Droit des Techniques de l'Information et de la Communication - TIC;;Poitiers;OUI;;;;;;1 à 3 mois;;;;;;;;Alexandre Zollinger;elisabeth.rebillier@univ-poitiers.fr;05 49 36 64 50;15 rue Sainte Opportune;86073;Poitiers Cedex 09;http://www.magistere.net;CECOJI;;;
F3;Poitiers ;Sciences Humaines et Arts;Master 2;Sciences Humaines et Sociales;Information et Communication;Web Editoral;;Poitiers;OUI;OUI;NON;OUI;OUI;;2 à 6 mois;01 avril;30 septembre;;;;;;Yannis Delmas;yannis.delmas@univ-poitiers.fr;05 49 45 45 30;8 rue René Descartes;86073;Poitiers Cedex 09;http://sha.univ-poitiers.fr/masterweb/;;;;
F4;Poitiers;Sciences Humaines et Arts;Master 2;Sciences Humaines et Sociales;Information et Communication;ESDOC - Sciences de la Communication;;Poitiers;OUI;OUI;NON;NON ;OUI;;3 à 6 mois;;;;;;;;David Guillemin;david.guillemin@univ.poitiers.fr;05 49 45 49 27;8 rue René Descartes;86073;Poitiers Cedex 09;http://sha.univ-poitiers.fr/masteresdoc/;;;;
F5;Poitiers;Lettres et Langues;Master 2;Sciences Humaines et Sociales;Information et Communication;Ingénierie des Médias pour l'Education;;Poitiers;OUI;OUI;NON;OUI;OUI;;2 à 5 mois;;;;;;;;Hassina El Kechai;hassina.el.kechai@univ-poitiers.fr;05 49 36 62 06;1 rue Raymond Cantel ;86073;Poitiers Cedex 09;http://ll.univ-poitiers.fr/masterime/;TECHNE;;;Master à distance
F6;Poitiers;Sciences Humaines et Arts;Master 2;Sciences Humaines et Sociales;Information et Communication;Ecriture et Réalisation Documentaires;;Angoulême;OUI;OUI;NON;NON;OUI;;5 semaines;01 février;;;;;;;Denis Bourgeois;creadoc@univ-poitiers.fr;05 45 38 65 76;121 rue de Bordeaux;16000;Angoulême;http://sha.univ-poitiers.fr/creadoc/;;;;CREADOC
F7;Poitiers;Lettres et Langues;Master 2;Arts Lettres Langues;Texte/Image : Littératures, Ecrans, Scènes TEXTIM;Bande Dessinée;;Angoulême;OUI;;;;OUI;;;;;;;;;;Patrick Clanet;s.burel@eesi.eu;05 45 92 01 01;134 rue de Bordeaux;16000;Angoulême;http://www.eesi.eu/site/;FORELL;;;EESI
F8;Poitiers;Lettres et Langues;Master 2;Arts Lettres Langues;Texte/Image : Littératures, Ecrans, Scènes TEXTIM;Arts du spectacle;;Poitiers;OUI;OUI;NON;NON ;OUI;;420 h à 560 h;;;;;;;;Leila Adham;leila.adham@univ-poitiers.fr;05 49 45 43 38;1 rue Raymond Cantel ;86073;Poitiers Cedex 09;;FORELL;;;
F9;Poitiers;Lettres et Langues;Master 2;Arts Lettres Langues;Texte/Image : Littératures, Ecrans, Scènes TEXTIM;Littératures et Cultures de l'Image;;Poitiers;OUI;OUI;NON;NON;NON;;0;;;;;;;;Anne-Cécile Guilbard;anne.cecile.guilbard@univ-poitiers.fr;05 49 45 32 71;1 rue Raymond Cantel ;86073;Poitiers Cedex 09;;FORELL;;;
F10;Poitiers;Sciences Humaines et Arts;Master 2;Sciences Humaines et Sociales;Civilisations : histoire patrimoine et sources ;Patrimoine Musée et Multimédia;;Poitiers;OUI;OUI;NON;NON;OUI;;8 à 20 semaines;;;;;isabelle.fortune@univ-poitiers.fr;Consultables sur place;;Claire Barbillon;nathalie.guillemet@univ-poitiers.fr;05 49 45 45 11;8 rue René Descartes;86073;Poitiers Cedex 09;http://sha.univ-poitiers.fr/m2patrimoines/;HeRMA;CESCM;CRIHAM;
F11;Poitiers;Lettres et Langues;Master 2;Sciences Humaines et Sociales;Information et Communication;Euromime;;Poitiers + villes monde;;;NON;NON;OUI;;0;;;;;;;;Jean-François Cerisier;cerisier@univ-poitiers.fr;05 49 45 45 45;8 rue René Descartes;86073;Poitiers Cedex 09;http://euromime.org/fr/accueil/le-master-euromime;TECHNE;;;Erasmus Mundus
F12;Poitiers;Droit et Sciences Sociales;Master 2;Droit Economie Gestion;Droit du Patrimoine;Droit de la Recherche et Valorisation de l'Innovation;;Poitiers;OUI;OUI;NON;NON;NON;;12 semaines;;;;;;;;Marie-Eugénie Laporte Legeais;elisabeth.rebillier@univ-poitiers.fr;05 49 36 64 40;15 rue Sainte Opportune;86073;Poitiers Cedex 09;;CECOJI;;;Master à distance
