;Programme INSECT - Laboratoires Universitaires;;;;;;;;;;;;;;;;;;;;;;;;
;Identité;;;;;;;Recherche;;;;;;;;;;Coordonnées;;;;;;;Divers
;;;;;;;;;;;;;;;;;;;;;;;;;
Références;Champs de Recherche;Université de;Intitulé Laboratoire;Intitulé Laboratoire Abregé;Référence Laboratoire ;Structure de rattachement;Rattachement(s) externe(s);Nombre de chercheurs;Association au CNRS;Axe Recherche 1;Axe Recherche 2;Axe Recherche 3;Axe Recherche 4;Axe Recherche 5;Axe Recherche 6;Axe Recherche 7;Axe Recherche 8;Direction;Site Internet;Courriel Secrétariat ;Téléphone;Adresse;Code Postal;Commune;Informations complémentaires
L1;Gestion de Projets - Marketing digital - Consommations culturelles;Poitiers;Maison des Sciences de l'Homme et de la Société;MSHS;USR 3565;;;600;OUI;Langage et Cognition : corpus, comportements, éducation;Marchés, Cultures de consommation, Autonomie et Migrations;Culture et Patrimoine;;;;;;RIGALLEAU François;http://mshs.univ-poitiers.fr/ ;mshs@mshs.univ-poitiers.fr ;05 49 45 46 00;5 rue Théodore Lefebvre - Bât. A5;86073;POITIERS Cedex 9;
L2;Gestion de Projets - Marketing digital - Consommations culturelles;Poitiers;Centre de Recherche en Gestion;CEREGE;EA 1722;Institut d'Administration des Entreprises de Poitiers (IAE), Maison des sciences de l'homme et de la société (MSHS);Université de La Rochelle, ESC La Rochelle;85;NON;Stratégies de marché et cultures de consommation (SMCC);Appropriation des outils de gestion (APOGEE);Management public et société (MPS);Intelligence stratégique internationale (ISI);Gouvernance et développement durable (GDD);Intelligence Stratégique Internationale (ISI);Numérique : Usages, territoires et sociétés (NUTS);;Jérôme MERIC;http://cerege.iae.univ-poitiers.fr/ ;laurence.chevalier@univ-poitiers.fr;05 49 45 44 89;20 rue Guillaume VII le Troubadour, Bât. E1, TSA 61116;86073;POITIERS Cedex 9;
L3;Ingénierie des médias - Numériques interactifs;Poitiers;Laboratoire d'Informatique et d'Automatique pour les Systèmes;LIAS;EA 6315;Ecole Nationale Supérieure d'Ingénieurs de Poitiers (ENSIP);;35;;Ingénierie des Données et des Modèles;Systèmes Embarqués Temps Réels;Automatique & Systèmes;;;;;;COIRAULT Patrick;http://www.lias-lab.fr/ ;;05 49 45 35 09;2 rue Pierre Brousse - Bât. B25 - TSA 41105;86073;POITIERS Cedex 9;
L4;Droit de la propriété intellectuelle;Poitiers;Centre d'Etudes sur la Coopération Juridique Internationale;CECOJI;EA 7353 - UMR CNRS 6224;UFR Droit et sciences sociales;;;NON;Mondialisation et culture;TIC;Langue et droit;Santé et droit;;;;;GAUDRAT Philippe;http://www.cecoji.cnrs.fr/ ;cecoji-up@univ-poitiers.fr ;05 49 36 64 50;Faculté de Droit - Hôtel Aubaret - 15 rue Sainte-Opportune;86073;POITIERS Cedex;
L5;Droit de la propriété intellectuelle;Poitiers;Juriscope;;UMS CNRS 2268;UFR Droit et sciences sociales;;;OUI;Accès aux droits étrangers - promotion du droit français et du droit francophone;Droit comparé;Langues et droit : traduction, terminologie, linguistique juridiques;;;;;;LAPORTE-LEGEAIS Marie-Eugénie;http://www.juriscope.org/ ;contact@juriscope.org;05 49 49 67 00;23 avenue René Cassin - Téléport 2 - BP 90194;86962;FUTUROSCOPE - CHASSENEUIL Cedex;
L6;Editorialisation et valorisation du patrimoine;Poitiers;Centre d'Etudes Supérieures de Civilisation Médiévale;CESCM;UMR 7302;UFR Sciences humaines et arts, UFR Lettres et langues, Maison des sciences de l'homme et de la société (MSHS);;;OUI;Lettres et textes médiévaux;Espace, pouvoir et religion;Signes, formes et représentations;Territoires, monuments et techniques;;;;;AURELL Martin;http://cescm.labo.univ-poitiers.fr/ ;direction.cescm@univ-poitiers.fr ;05 49 45 45 57;24 rue de la chaîne - Bât. E13 - TSA 81118;86073;POITIERS Cedex 9;
