Key;Item Type;Publication Year;Author;Title;Publication Title;ISBN;ISSN;DOI;Url;Abstract Note;Date;Date Added;Date Modified;Access Date;Pages;Num Pages;Issue;Volume;Number Of Volumes;Journal Abbreviation;Short Title;Series;Series Number;Series Text;Series Title;Publisher;Place;Language;Rights;Type;Archive;Archive Location;Library Catalog;Call Number;Extra;Notes;File Attachments;Link Attachments;Manual Tags;Automatic Tags;Editor;Series Editor;Translator;Contributor;Attorney Agent;Book Author;Cast Member;Commenter;Composer;Cosponsor;Counsel;Interviewer;Producer;Recipient;Reviewed Author;Scriptwriter;Words By;Guest;Number;Edition;Running Time;Scale;Medium;Artwork Size;Filing Date;Application Number;Assignee;Issuing Authority;Country;Meeting Name;Conference Name;Court;References;Reporter;Legal Status;Priority Numbers;Programming Language;Version;System;Code;Code Number;Section;Session;Committee;History;Legislative Body
34IZE8WK;webpage;2017;;Médiamat, An I Le livre de l'audience 1989, - Persée;;;;;http://www.persee.fr/doc/colan_0336-1500_1990_num_83_1_2214_t1_0123_0000_4;;2017;16/10/2018 20:31;16/10/2018 20:31;10/01/2017 14:40;;;;;;;;;;;;;;;;;;;;;;;/Users/xander/Zotero/storage/DUXBAECL/colan_0336-1500_1990_num_83_1_2214_t1_0123_0000_4.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3VHHZV5N;webpage;2017;;Le nouveau panel Médiamat 1997 - Persée;;;;;http://www.persee.fr/doc/colan_0336-1500_1997_num_112_1_2757;;2017;16/10/2018 20:31;16/10/2018 20:31;10/01/2017 14:42;;;;;;;;;;;;;;;;;;;;;;;/Users/xander/Zotero/storage/KWBJW2SY/colan_0336-1500_1997_num_112_1_2757.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3HGDG8TL;journalArticle;1984;Belkin, Nicholas J.;Cognitive models and information transfer;Social Science Information Studies;;;;http://www.sciencedirect.com/science/article/pii/014362368490070X;;1984;16/10/2018 20:31;05/02/2019 22:49;02/02/2017 12:23;111–129;;02-mars;4;;;;;;;;;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/4EULEWUE/1-s2.0-014362368490070X-main.pdf; /Users/xander/Zotero/storage/6CB9QY2G/1-s2.0-014362368490070X-main.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KR2SG3RS;journalArticle;2001;"Merikle, Philip M.; Smilek, Daniel; Eastwood, John D.";Perception without awareness: Perspectives from cognitive psychology;Cognition;;;;http://www.sciencedirect.com/science/article/pii/S0010027700001268;;2001;16/10/2018 20:31;05/02/2019 22:50;02/02/2017 12:23;115–134;;1;79;;;Perception without awareness;;;;;;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/4DWWUABL/1-s2.0-S0010027700001268-main.pdf; /Users/xander/Zotero/storage/SQSCTEPV/1-s2.0-S0010027700001268-main.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAMICEM4;journalArticle;2003;"Legris, Paul; Ingham, John; Collerette, Pierre";Why do people use information technology? A critical review of the technology acceptance model;Information & management;;;;http://www.sciencedirect.com/science/article/pii/S0378720601001434;;2003;16/10/2018 20:31;05/02/2019 22:50;02/02/2017 12:23;191–204;;3;40;;;Why do people use information technology?;;;;;;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/ZNTDBLSS/1-s2.0-S0378720601001434-main.pdf; /Users/xander/Zotero/storage/42KGP56R/1-s2.0-S0378720601001434-main.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECXJ3IV8;journalArticle;2001;"Vuilleumier, Patrik; Armony, Jorge L.; Driver, Jon; Dolan, Raymond J.";Effects of attention and emotion on face processing in the human brain: an event-related fMRI study;Neuron;;;;http://www.sciencedirect.com/science/article/pii/S0896627301003282;;2001;16/10/2018 20:31;05/02/2019 22:49;02/02/2017 12:23;829–841;;3;30;;;Effects of attention and emotion on face processing in the human brain;;;;;;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/5BDZELED/1-s2.0-S0896627301003282-main.pdf; /Users/xander/Zotero/storage/845V7DDT/1-s2.0-S0896627301003282-main.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JC79YDS8;conferencePaper;2008;Landragin, Frédéric;Vers l'évaluation de systèmes de dialogue homme-machine: de l'oral au multimodal;JEP/TALN/RECITAL;;;;https://halshs.archives-ouvertes.fr/halshs-00300238/;;2008;16/10/2018 20:31;05/02/2019 22:50;02/02/2017 12:23;390–399;;;;;;Vers l'évaluation de systèmes de dialogue homme-machine;;;;;;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/KLSC8Y9V/08_TALN_ev.pdf; /Users/xander/Zotero/storage/HSVN75YQ/08_TALN_ev.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
XXEGQS36;journalArticle;2000;Wille, Fabien;L’évolution du spectacle télévisé: le modèle du Tour de France;Les Cahiers du journalisme;;;;http://www.com.ulaval.ca/fileadmin/contenu/Cahiers_Journalisme/PDF/7/11_Wille.pdf;;2000;16/10/2018 20:31;05/02/2019 22:49;02/02/2017 12:23;212–226;;7;;;;L’évolution du spectacle télévisé;;;;;;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/V82YRX2Y/11_Wille.pdf; /Users/xander/Zotero/storage/3FYHR66H/11_Wille.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IXUBEUS3;journalArticle;1997;Boisson, Claude;La dénomination des odeurs: variations et régularités linguistiques;Intellectica;;;;http://intellectica.org/SiteArchives/archives/n24/24_03_Boisson.pdf;;1997;16/10/2018 20:31;05/02/2019 22:49;02/02/2017 12:23;29–49;;1;24;;;La dénomination des odeurs;;;;;;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/PI58NJVA/24_03_Boisson.pdf; /Users/xander/Zotero/storage/EN4NH9C8/24_03_Boisson.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9CVGZW4D;journalArticle;2000;"Vroomen, Jean; Gelder, Beatrice de";Sound enhances visual perception: Cross-modal effects of auditory organization on vision.;Journal of Experimental Psychology: Human Perception and Performance;;0096-1523;10.1037//0096-1523.26.5.1583;http://doi.apa.org/getdoi.cfm?doi=10.1037/0096-1523.26.5.1583;;2000;16/10/2018 20:31;05/02/2019 22:49;02/02/2017 12:23;1583-1590;;5;26;;;Sound enhances visual perception;;;;;;;en;;;;;CrossRef;;;;"/Users/xander/Zotero/storage/PJLU2KGL/24.pdf; /Users/xander/Zotero/storage/QN3Q23SE/24.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
